hotel_id,hotel_name,city,state,week_start,year,week_number,rooms_available,rooms_booked,occupancy_rate,avg_lead_time,cancelation_rate,total_guests,avg_guest_age,loyalty_members,repeat_guests,avg_daily_rate,total_revenue,extras_revenue,holiday_week,local_event
H100,Great Lakes Inn,Chicago,IL,2023-01-01,2023,52,94,70,0.74,13,0.15,70,55,21,34,135.35,66321.5,1865.42,True,
H100,Great Lakes Inn,Chicago,IL,2023-01-08,2023,1,115,73,0.63,10,0.13,73,48,24,20,89.52,45744.72,1264.89,False,Convention
H100,Great Lakes Inn,Chicago,IL,2023-01-15,2023,2,97,82,0.85,12,0.23,246,28,78,119,127.51,73190.74,7210.91,False,
H100,Great Lakes Inn,Chicago,IL,2023-01-22,2023,3,149,95,0.64,20,0.21,95,34,54,26,119.89,79726.85,2208.79,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2023-01-29,2023,4,134,96,0.72,1,0.04,96,47,31,24,123.43,82944.96,1046.84,False,
H100,Great Lakes Inn,Chicago,IL,2023-02-05,2023,5,91,54,0.59,2,0.26,54,28,29,12,122.69,46376.82,1605.84,False,Convention
H100,Great Lakes Inn,Chicago,IL,2023-02-12,2023,6,144,91,0.63,18,0.21,273,31,152,105,113.82,72503.34,4536.7,False,
H100,Great Lakes Inn,Chicago,IL,2023-02-19,2023,7,105,71,0.68,11,0.3,213,29,109,91,118.48,58884.56,4521.04,False,
H100,Great Lakes Inn,Chicago,IL,2023-02-26,2023,8,149,103,0.69,24,0.01,206,40,81,72,114.02,82208.42,5799.17,False,Convention
H100,Great Lakes Inn,Chicago,IL,2023-03-05,2023,9,137,88,0.64,3,0.06,264,45,148,116,143.16,88186.56,3625.09,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-03-12,2023,10,80,56,0.7,20,0.1,56,42,16,19,125.22,49086.24,1027.5,False,
H100,Great Lakes Inn,Chicago,IL,2023-03-19,2023,11,134,88,0.66,11,0.2,176,30,104,86,148.08,91217.28,2646.27,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-03-26,2023,12,99,50,0.51,13,0.08,50,38,17,17,126.03,44110.5,1485.65,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-04-02,2023,13,93,72,0.77,5,0.06,72,54,33,16,147.85,74516.4,1922.84,False,Sports Event
H100,Great Lakes Inn,Chicago,IL,2023-04-09,2023,14,92,55,0.6,10,0.18,110,24,54,27,121.37,46727.45,2620.06,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-04-16,2023,15,113,86,0.76,12,0.14,86,36,42,38,131.12,78934.24,1814.95,False,
H100,Great Lakes Inn,Chicago,IL,2023-04-23,2023,16,138,74,0.54,15,0.14,222,45,125,96,125.94,65236.92,5070.62,False,
H100,Great Lakes Inn,Chicago,IL,2023-04-30,2023,17,128,92,0.72,19,0.23,92,47,34,27,100.91,64986.04,2293.54,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2023-05-07,2023,18,117,93,0.79,16,0.15,279,31,165,88,103.68,67495.68,7767.62,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2023-05-14,2023,19,126,103,0.82,17,0.3,309,30,94,121,139.54,100608.34,4184.54,False,Convention
H100,Great Lakes Inn,Chicago,IL,2023-05-21,2023,20,88,59,0.67,18,0.2,59,31,32,17,89.7,37046.1,790.0,False,
H100,Great Lakes Inn,Chicago,IL,2023-05-28,2023,21,109,84,0.77,14,0.14,168,50,87,68,121.03,71165.64,4040.35,False,
H100,Great Lakes Inn,Chicago,IL,2023-06-04,2023,22,109,61,0.56,7,0.18,61,45,32,24,197.05,84140.35,1466.4,False,Sports Event
H100,Great Lakes Inn,Chicago,IL,2023-06-11,2023,23,115,83,0.72,15,0.09,166,39,76,47,109.31,63509.11,3621.57,False,
H100,Great Lakes Inn,Chicago,IL,2023-06-18,2023,24,126,82,0.65,21,0.21,82,32,25,29,124.33,71365.42,1706.64,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-06-25,2023,25,125,104,0.83,19,0.13,104,35,33,21,86.62,63059.36,3042.31,False,
H100,Great Lakes Inn,Chicago,IL,2023-07-02,2023,26,114,85,0.75,20,0.06,255,57,127,72,128.1,76219.5,7419.81,True,
H100,Great Lakes Inn,Chicago,IL,2023-07-09,2023,27,89,65,0.73,25,0.03,195,37,64,67,157.44,71635.2,3796.54,False,
H100,Great Lakes Inn,Chicago,IL,2023-07-16,2023,28,101,68,0.67,5,0.3,204,54,91,93,91.28,43449.28,4727.47,False,
H100,Great Lakes Inn,Chicago,IL,2023-07-23,2023,29,111,75,0.68,14,0.21,75,33,34,36,162.23,85170.75,1329.15,False,Sports Event
H100,Great Lakes Inn,Chicago,IL,2023-07-30,2023,30,128,93,0.73,9,0.15,186,34,62,76,136.99,89180.49,4199.67,False,
H100,Great Lakes Inn,Chicago,IL,2023-08-06,2023,31,108,79,0.73,18,0.07,237,22,126,71,95.59,52861.27,6781.79,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-08-13,2023,32,87,59,0.68,21,0.19,59,53,23,27,120.42,49733.46,1049.26,False,
H100,Great Lakes Inn,Chicago,IL,2023-08-20,2023,33,120,80,0.67,9,0.29,160,52,84,69,96.07,53799.2,4126.78,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-08-27,2023,34,88,61,0.69,7,0.19,61,31,20,26,113.57,48494.39,1364.23,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2023-09-03,2023,35,120,78,0.65,15,0.16,78,51,45,38,110.45,60305.7,1955.27,False,
H100,Great Lakes Inn,Chicago,IL,2023-09-10,2023,36,143,89,0.62,12,0.12,178,39,54,60,99.95,62268.85,1980.44,False,
H100,Great Lakes Inn,Chicago,IL,2023-09-17,2023,37,138,114,0.83,19,0.19,114,36,67,23,129.15,103061.7,3351.32,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-09-24,2023,38,97,70,0.72,14,0.19,70,54,30,27,139.19,68203.1,1518.04,False,
H100,Great Lakes Inn,Chicago,IL,2023-10-01,2023,39,148,101,0.68,20,0.03,202,50,65,99,83.8,59246.6,6004.29,False,
H100,Great Lakes Inn,Chicago,IL,2023-10-08,2023,40,134,98,0.73,27,0.29,294,26,170,135,156.63,107448.18,3205.89,False,Sports Event
H100,Great Lakes Inn,Chicago,IL,2023-10-15,2023,41,126,87,0.69,12,0.24,87,42,38,28,125.57,76472.13,1345.73,False,Convention
H100,Great Lakes Inn,Chicago,IL,2023-10-22,2023,42,145,101,0.7,14,0.09,202,41,74,81,130.29,92115.03,4517.24,False,
H100,Great Lakes Inn,Chicago,IL,2023-10-29,2023,43,86,53,0.62,11,0.1,53,41,24,24,143.06,53075.26,957.69,False,Convention
H100,Great Lakes Inn,Chicago,IL,2023-11-05,2023,44,100,76,0.76,23,0.06,228,50,95,75,84.83,45129.56,6402.96,False,Sports Event
H100,Great Lakes Inn,Chicago,IL,2023-11-12,2023,45,88,63,0.72,1,0.07,126,39,47,42,135.93,59945.13,3729.68,False,Sports Event
H100,Great Lakes Inn,Chicago,IL,2023-11-19,2023,46,139,68,0.49,13,0.04,204,43,72,61,101.2,48171.2,5698.9,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-11-26,2023,47,150,135,0.9,11,0.12,135,31,44,31,108.82,102834.9,2594.1,True,
H100,Great Lakes Inn,Chicago,IL,2023-12-03,2023,48,94,60,0.64,5,0.3,180,33,101,85,124.28,52197.6,2019.88,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2023-12-10,2023,49,114,89,0.78,9,0.07,267,63,109,90,113.79,70891.17,6661.49,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2023-12-17,2023,50,94,71,0.76,16,0.3,142,23,54,44,124.07,61662.79,1477.0,False,Sports Event
H100,Great Lakes Inn,Chicago,IL,2023-12-24,2023,51,100,59,0.59,9,0.09,118,50,53,26,133.07,54957.91,2447.57,True,
H100,Great Lakes Inn,Chicago,IL,2023-12-31,2023,52,113,96,0.85,17,0.07,288,49,117,142,158.19,106303.68,6369.26,True,Convention
H100,Great Lakes Inn,Chicago,IL,2024-01-07,2024,1,144,95,0.66,12,0.13,95,31,54,21,109.1,72551.5,1946.57,False,
H100,Great Lakes Inn,Chicago,IL,2024-01-14,2024,2,118,85,0.72,13,0.16,255,34,89,102,135.11,80390.45,7289.82,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2024-01-21,2024,3,105,94,0.9,25,0.3,94,42,35,22,65.18,42888.44,2087.97,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2024-01-28,2024,4,100,76,0.76,2,0.2,228,31,72,113,112.31,59748.92,3749.93,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2024-02-04,2024,5,80,51,0.64,19,0.22,153,22,88,68,99.35,35467.95,4482.98,False,Music Festival
H100,Great Lakes Inn,Chicago,IL,2024-02-11,2024,6,142,104,0.73,9,0.16,104,43,37,25,111.76,81361.28,1381.67,False,
H100,Great Lakes Inn,Chicago,IL,2024-02-18,2024,7,126,95,0.75,21,0.2,190,53,83,55,120.37,80046.05,2782.41,False,Convention
H100,Great Lakes Inn,Chicago,IL,2024-02-25,2024,8,87,75,0.86,12,0.22,75,47,43,29,102.5,53812.5,1941.04,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2024-03-03,2024,9,90,59,0.66,18,0.3,59,44,22,24,121.43,50150.59,1489.7,False,
H100,Great Lakes Inn,Chicago,IL,2024-03-10,2024,10,142,92,0.65,11,0.25,92,30,31,24,139.28,89696.32,2099.71,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2024-03-17,2024,11,96,76,0.79,16,0.3,76,34,36,24,133.09,70803.88,993.09,False,
H100,Great Lakes Inn,Chicago,IL,2024-03-24,2024,12,140,97,0.69,15,0.3,291,47,167,119,125.0,84875.0,6441.08,False,Convention
H100,Great Lakes Inn,Chicago,IL,2024-03-31,2024,13,113,66,0.58,25,0.1,198,47,117,89,121.11,55952.82,4321.45,False,State Fair
H100,Great Lakes Inn,Chicago,IL,2024-04-07,2024,14,134,108,0.81,9,0.18,108,23,62,32,145.4,109922.4,2056.79,False,State Fair
