student_id,institution_name,campus_location,degree_program,start_year,graduation_year,GPA_start,GPA_mid,GPA_final,credits_completed,internship_participation,extracurricular_involvement_level,study_abroad,on_campus_employment,gender,ethnicity,age_at_graduation,first_generation_college_student,family_income_bracket,high_school_GPA,employment_status_6mo,employment_status_1yr,job_title_first,industry_first,salary_first,job_city,job_state,job_region,graduate_school_enrollment,graduate_field_of_study,job_satisfaction,alignment_with_major
fa0e131e-ede9-4c12-83ff-8f07b528c028,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2017,2021,2.9,2.96,3.25,121,1,None,0,0,Non-binary,White,28,0,High,3.61,Employed,Employed,IT consultant,Higher Education,44681.0,Champaign,IL,Midwest,0,,9.0,1.0
94435046-e763-42fa-98a2-9f08f11cd651,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2020,2024,2.65,2.15,2.1,126,0,High,0,0,Female,Black,29,0,High,2.77,Employed,Employed,Paramedic,Marketing,56774.0,Springfield,IL,Midwest,1,Business,6.0,1.0
ecdd4083-9184-443d-9ef9-b3bb08c55e48,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2016,2020,2.47,2.29,1.61,125,1,Medium,0,0,Male,Other,22,0,Low,3.38,Employed,Employed,Recycling officer,Media,33804.0,Springfield,IL,Midwest,1,Arts & Humanities,10.0,1.0
aed64254-2722-422f-b79c-2af63f1fc0b4,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Arts & Humanities,2018,2022,2.94,2.96,3.01,136,0,None,1,0,Male,Hispanic,27,1,Medium,3.03,Employed,Employed,Archaeologist,Arts,34476.0,Chicago,IL,Midwest,1,Arts & Humanities,6.0,1.0
801c8cdb-c0d9-42e5-b8e9-bbeee222fcea,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",STEM,2020,2024,2.48,2.61,2.36,134,1,Medium,0,1,Female,Black,28,0,High,3.15,Employed,Employed,Drilling engineer,Research,70596.0,Milwaukee,WI,Midwest,0,,7.0,0.0
02258372-be35-4c1e-b7f4-366c24229114,University of Illinois Chicago,"Chicago, IL",Business,2019,2023,3.15,3.48,3.25,130,0,High,0,1,Male,Black,25,1,Medium,2.79,Employed,Employed,Community development worker,Finance,58272.0,Rockford,IL,Midwest,0,,6.0,1.0
8716a10e-f898-4152-9b9a-651c7f82f968,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Education,2019,2023,2.61,2.83,2.55,122,1,High,0,0,Non-binary,Asian,27,0,Medium,3.44,Employed,Employed,Local government officer,K-12,52812.0,Bloomington,IL,Midwest,0,,6.0,1.0
694d682c-dc72-439d-a79e-8a21d6ceeeec,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",Business,2016,2020,2.14,1.59,1.5,137,0,High,0,1,Non-binary,Asian,25,1,High,3.3,Employed,Employed,"Surveyor, building",Finance,55856.0,Champaign,IL,Midwest,0,,8.0,1.0
3e841388-2f3e-48e2-8e0a-02fffcf1651d,University of Illinois Springfield,"Springfield, IL",STEM,2017,2021,2.65,2.66,2.32,126,1,Low,0,1,Female,Asian,26,0,Medium,2.71,Employed,Employed,Physiological scientist,Research,78549.0,Austin,TX,South,0,,7.0,1.0
519152fc-7761-4e74-bace-0393aaaf424d,University of Illinois Chicago,"Chicago, IL",Business,2020,2024,2.73,2.38,2.7,123,0,High,0,0,Female,Black,26,0,High,3.23,Employed,Employed,Insurance underwriter,Finance,63838.0,St. Louis,MO,Midwest,0,,7.0,1.0
